feature,importance
regtypename_Учень (слухач) закладу професійної (професійно-технічної) освіти,11742.1875
n_foreign_taken,3375.284912109375
"tertypename_селище, село",2608.831787109375
regtypename_Студент закладу вищої освіти,1937.21484375
sextypename_жіноча,875.8990478515625
areaname_м.Київ,861.220458984375
classprofilename_Математичний,827.4490966796875
sextypename_чоловіча,678.3770751953125
classprofilename_Іноземної філології,656.2887573242188
regname_Закарпатська область,643.9611206054688
classprofilename_Молодший спеціаліст,594.7045288085938
tertypename_unknown,591.2501220703125
dpa_required_count_met,567.751953125
regname_Львівська область,524.7872314453125
classprofilename_Кваліфікований робітник,523.9720458984375
testlanguage_unknown,501.0146484375
regname_м.Київ,492.0483093261719
classprofilename_Технологічний,472.5685729980469
testlanguage_infrequent_sklearn,434.921875
regname_Одеська область,412.8600769042969
classlangname_infrequent_sklearn,388.2569580078125
classprofilename___MISSING__,346.1488037109375
areaname_infrequent_sklearn,323.5331115722656
testlanguage_українська,282.43402099609375
age,274.92413330078125
n_tests_taken,269.5805969238281
tertypename_infrequent_sklearn,241.0756378173828
classlangname_unknown,224.09307861328125
regname_Волинська область,223.9442138671875
regname_Дніпропетровська область,211.27955627441406
classprofilename_Універсальний,210.08787536621094
regname_Тернопільська область,196.205078125
classprofilename_infrequent_sklearn,180.0357208251953
regname_Чернівецька область,164.89755249023438
regtypename_випускник закладу загальної середньої освіти 2020 року,149.88687133789062
classprofilename_Інший(багатопрофільність),140.85220336914062
regname_Миколаївська область,140.0641326904297
regname_Херсонська область,136.38487243652344
regname_Івано-Франківська область,131.21527099609375
tertypename_місто,127.09208679199219
regname_Вінницька область,124.95032501220703
regname_Сумська область,112.00048065185547
regtypename_Випускник загальноосвітнього навчального закладу 2017 року,103.48673248291016
regname_Донецька область,94.57450866699219
regname_Запорізька область,93.57424926757812
classprofilename_Української філології,93.09166717529297
regname_Рівненська область,90.8054428100586
year,82.36166381835938
regname_Полтавська область,79.09744262695312
regname_Кіровоградська область,76.78826141357422
dpa_required_done,76.67678833007812
areaname_м.Одеса,76.54167175292969
areaname_м.Львів,69.2289047241211
tername_infrequent_sklearn,69.06656646728516
classlangname_українська,67.69193267822266
areaname_м.Дніпро,54.143245697021484
tername_Шевченківський район міста,53.70289993286133
regtypename_Випускник загальноосвітнього навчального закладу 2016 року,53.29823303222656
classprofilename_Інформаційно-технологічний,49.71756362915039
regtypename_Випускник закладу загальної середньої освіти 2019 року,46.516109466552734
regname_Черкаська область,46.14889144897461
regname_Київська область,45.02275466918945
areaname_м.Харків,42.62651824951172
classlangname_російська,37.226417541503906
regname_Харківська область,36.678707122802734
regname_infrequent_sklearn,36.13810729980469
regname_Хмельницька область,33.379974365234375
regname_Житомирська область,31.868175506591797
testlanguage_російська,31.25429916381836
regtypename_Випускник закладу загальної середньої освіти 2018 року,30.29422378540039
regname_Чернігівська область,29.15648651123047
classprofilename_Історичний,27.333770751953125
regtypename_infrequent_sklearn,4.747420787811279
